id,utm_x,utm_y,wgs_x,wgs_y,year,month,batch
41,1450000,-4089000,148.2146904,-36.57394518,2019,11,3
42,1986000,-3477000,152.996336,-30.44709509,2018,9,2
43,1734000,-3477000,150.3713154,-30.79224975,2016,2,1
44,1462000,-3477000,147.5203916,-31.11340913,2017,12,1
45,1650000,-3477000,149.4927133,-30.89714921,2016,3,1
46,1594000,-3477000,148.906047,-30.964248,2018,7,2
47,1578000,-3477000,148.7382951,-30.98300184,2019,12,2
48,1594000,-3481000,148.9116301,-30.99964553,2018,6,3
49,1554000,-3481000,148.4920063,-31.04619898,2016,6,4
50,1542000,-3481000,148.3660489,-31.05993859,2018,7,4
51,1506000,-3481000,147.9879857,-31.10052971,2018,12,2
52,1706000,-3481000,150.0845986,-30.86313036,2019,3,1
53,1282000,-3481000,145.6295116,-31.33187748,2017,3,1
54,1474000,-3481000,147.6516929,-31.13581956,2018,11,2
55,1466000,-3481000,147.5675854,-31.14452558,2016,5,1
56,1426000,-3481000,147.146846,-31.18735641,2016,1,1
57,1162000,-3481000,144.3620929,-31.44071417,2019,7,3
58,1614000,-4093000,150.0318569,-36.41192491,2017,11,3
59,1578000,-4093000,149.6348056,-36.4571241,2017,3,4
60,906000,-3481000,141.6504013,-31.63749303,2017,9,2
61,886000,-3481000,141.4381511,-31.65082934,2017,3,2
62,874000,-3485000,141.313877,-31.69433176,2018,12,3
63,966000,-3485000,142.2902506,-31.63132907,2019,3,2
64,1454000,-4097000,148.2702713,-36.64101106,2017,6,4
65,1566000,-4097000,149.5084672,-36.50773221,2016,2,3
66,1794000,-3481000,151.0040783,-30.74951313,2018,3,4
67,1986000,-3481000,153.0032259,-30.48230696,2016,4,1
68,1910000,-3481000,152.2130815,-30.59123465,2019,6,4
69,1982000,-3485000,152.9685605,-30.52335757,2019,12,3
70,1814000,-3485000,151.2191035,-30.75821173,2017,10,1
71,1790000,-3485000,150.9685714,-30.79010853,2017,12,1
72,1766000,-3485000,150.7178923,-30.82159067,2018,12,4
73,1450000,-3485000,147.4044273,-31.19725569,2016,2,1
74,1170000,-3485000,144.4508002,-31.46934565,2017,5,1
75,1102000,-3485000,143.731349,-31.52674644,2016,3,2
76,1286000,-3485000,145.6762489,-31.36358696,2017,3,1
77,1278000,-3485000,145.5918137,-31.37119749,2017,1,3
78,1246000,-3485000,145.2539542,-31.40117059,2017,7,1
79,1650000,-3449000,149.4524141,-30.64956407,2016,10,1
80,1446000,-3449000,147.3167074,-30.88245168,2018,8,3
81,1522000,-3449000,148.1134335,-30.79921324,2018,5,1
82,1190000,-3449000,144.6245252,-31.13189537,2018,2,3
83,1150000,-3449000,144.2027921,-31.16654502,2018,6,2
84,1298000,-3449000,145.7618015,-31.03249304,2017,3,4
85,1290000,-3449000,145.6776316,-31.0401485,2016,1,2
86,1182000,-3453000,144.5443539,-31.17446335,2018,2,1
87,1370000,-3453000,146.5235807,-30.99697214,2019,2,4
88,1354000,-3453000,146.3553947,-31.01308247,2019,9,3
89,978000,-3453000,142.3898578,-31.33776409,2016,6,4
90,1102000,-3453000,143.7002381,-31.24214559,2017,8,3
91,1562000,-4065000,149.4158302,-36.22663984,2019,4,3
92,1546000,-4069000,149.2455883,-36.28189957,2017,10,2
93,1502000,-4069000,148.7604625,-36.33456676,2018,10,1
94,1682000,-3453000,149.7924219,-30.64565475,2019,2,3
95,1918000,-3453000,152.2497579,-30.33325293,2019,1,4
96,1806000,-3453000,151.0853343,-30.48649528,2017,11,3
97,1466000,-3453000,147.5316158,-30.89639611,2018,3,3
98,1458000,-3453000,147.4476853,-30.90503344,2017,10,3
99,1422000,-3453000,147.0698333,-30.94332577,2019,3,2
100,1638000,-3453000,149.3327493,-30.69946849,2017,4,1
101,1242000,-3457000,145.1810874,-31.15614976,2019,10,3
102,1090000,-3457000,143.5773688,-31.28746699,2018,5,1
103,1018000,-3457000,142.8164025,-31.34374982,2018,7,1
104,1130000,-3457000,143.9997757,-31.25455272,2016,2,1
105,982000,-3457000,142.4356272,-31.370461,2016,1,3
106,922000,-3457000,141.8005919,-31.41285802,2016,6,2
107,1050000,-3461000,143.1584101,-31.35479298,2019,9,2
108,942000,-3461000,142.015652,-31.43463731,2016,2,2
109,1626000,-4073000,150.1326319,-36.2180482,2017,1,3
110,1794000,-3457000,150.9666116,-30.53768302,2017,11,4
111,1782000,-3457000,150.8415823,-30.55347087,2018,4,4
112,1922000,-3461000,152.3045937,-30.39809503,2017,3,1
113,1350000,-3461000,146.3228098,-31.08805759,2017,11,2
114,1130000,-3461000,144.0037551,-31.29011592,2019,3,2
115,1126000,-3461000,143.9615123,-31.29346145,2019,2,3
116,1094000,-3461000,143.6234758,-31.31980262,2016,1,2
117,1318000,-3461000,145.9860447,-31.11964799,2017,9,2
118,1290000,-3461000,145.6912148,-31.14667616,2018,8,4
119,1270000,-3461000,145.4805323,-31.16563117,2019,6,3
120,1254000,-3461000,145.3119331,-31.18058456,2017,11,1
121,1314000,-3465000,145.9485513,-31.15904732,2017,6,1
122,906000,-3465000,141.6375691,-31.49496904,2019,10,2
123,890000,-3465000,141.4679973,-31.50564574,2019,11,4
124,1502000,-4081000,148.7779473,-36.44190541,2019,1,4
125,1674000,-3465000,149.7263805,-30.76161628,2016,5,2
126,1426000,-3465000,147.1268171,-31.04549892,2018,8,1
127,1582000,-3465000,148.7636326,-30.87212905,2016,10,2
128,1562000,-3465000,148.554082,-30.89534302,2018,10,4
129,1486000,-4045000,148.5494296,-36.13871795,2019,7,1
130,1454000,-4045000,148.1968966,-36.17559408,2017,5,1
131,1990000,-3429000,152.955377,-30.01878289,2018,8,1
132,1682000,-3429000,149.7573617,-30.43355287,2016,10,4
133,1870000,-3429000,151.7123203,-30.18844803,2016,6,4
134,1854000,-3429000,151.5462895,-30.21029377,2018,11,3
135,1434000,-3429000,147.1657651,-30.71795067,2018,7,4
136,1602000,-3429000,148.9228645,-30.53014872,2016,8,2
137,1594000,-3433000,148.844873,-30.57494051,2019,1,4
138,1706000,-3433000,150.0133308,-30.43901303,2016,10,1
139,1682000,-3433000,149.7631955,-30.46890111,2016,1,1
140,1658000,-3433000,149.512923,-30.49837455,2018,7,1
141,1310000,-3433000,145.869691,-30.87892941,2016,6,3
142,1290000,-3433000,145.6595624,-30.89812766,2017,7,3
143,1262000,-3433000,145.365258,-30.92451516,2019,6,4
144,1386000,-3433000,146.6674834,-30.80331907,2019,3,3
145,1098000,-3433000,143.638713,-31.06756687,2016,12,2
146,1230000,-3433000,145.0287358,-30.95397171,2016,12,4
147,1590000,-4045000,149.6933865,-36.01345367,2019,9,2
148,906000,-3433000,141.6120068,-31.20998824,2016,9,3
149,910000,-3437000,141.6574847,-31.24291444,2016,4,2
150,1010000,-3437000,142.7140221,-31.17179544,2016,9,2
151,1486000,-4049000,148.55517,-36.17448115,2017,11,3
152,1626000,-4049000,150.0949774,-36.00385473,2017,3,1
153,1562000,-4049000,149.3916947,-36.08371498,2017,9,4
154,1842000,-3433000,151.4280871,-30.261833,2016,8,1
155,1810000,-3433000,151.0956219,-30.30471561,2018,2,4
156,1794000,-3433000,150.9292913,-30.32588187,2018,6,1
157,2002000,-3433000,153.0863553,-30.03644864,2016,7,1
158,1954000,-3437000,152.5963377,-30.14120121,2017,11,1
159,1890000,-3437000,151.9328134,-30.23138822,2017,1,1
160,1990000,-3437000,152.9690804,-30.08918806,2017,6,2
161,1618000,-3437000,149.101126,-30.5819513,2018,2,2
162,1774000,-3437000,150.7274307,-30.3873892,2019,1,2
163,1758000,-3437000,150.5609022,-30.40814975,2017,7,2
164,1414000,-3437000,146.9660562,-30.80986214,2018,3,4
165,1350000,-3437000,146.2944387,-30.87514089,2019,5,4
166,1362000,-3437000,146.4204286,-30.86312812,2018,11,4
167,1494000,-3437000,147.8044067,-30.72407866,2018,11,3
168,1330000,-3437000,146.0843937,-30.89492914,2018,4,4
169,1326000,-3437000,146.0423755,-30.89885183,2018,8,3
170,1566000,-4053000,149.4417239,-36.11453921,2018,5,3
171,1978000,-3441000,152.8516918,-30.1418378,2017,8,1
172,1946000,-3441000,152.5201722,-30.18785995,2018,4,1
173,1914000,-3441000,152.1883737,-30.23315206,2016,7,4
174,1922000,-3441000,152.2713493,-30.22189752,2016,2,3
175,1446000,-3441000,147.3066031,-30.81155366,2018,11,4
176,1570000,-3441000,148.6050417,-30.67368528,2018,7,1
177,1718000,-3445000,150.1562311,-30.52991517,2016,5,2
178,1702000,-3445000,149.9893758,-30.55004619,2016,10,1
179,1666000,-3445000,149.6137263,-30.59466689,2018,11,3
180,1662000,-3445000,149.5719684,-30.59956709,2017,12,3
181,1642000,-3445000,149.3631225,-30.62389499,2018,12,3
182,1310000,-3445000,145.8834436,-30.98542238,2016,9,2
183,1498000,-3445000,147.8567388,-30.7905228,2016,7,3
184,1434000,-3445000,147.1857843,-30.85975702,2018,10,1
185,1606000,-4057000,149.8877042,-36.10055366,2017,10,4
186,962000,-3445000,142.2138302,-31.27806161,2019,12,4
187,894000,-3445000,141.4946105,-31.32485621,2017,3,4
188,910000,-3449000,141.6671028,-31.34977307,2018,9,3
189,906000,-3449000,141.624771,-31.35246777,2018,1,3
190,1042000,-3449000,143.0628048,-31.25423751,2018,9,1
191,1030000,-3449000,142.9360271,-31.26345234,2016,11,4
192,1510000,-4061000,148.8370075,-36.25356874,2018,4,3
193,1518000,-4061000,148.9251728,-36.24406284,2019,11,4
194,1842000,-3445000,151.4472052,-30.36766221,2018,6,3
195,1810000,-3445000,151.1144228,-30.41059028,2019,4,4
196,1790000,-3445000,150.9063007,-30.4370475,2018,11,3
197,1038000,-3413000,142.9877564,-30.93708571,2016,11,4
198,1022000,-3413000,142.8192032,-30.94926126,2019,2,2
199,1030000,-3413000,142.9034845,-30.94319693,2017,7,1
200,1526000,-4025000,148.9603519,-35.91285958,2017,10,3
201,1966000,-3413000,152.6800369,-29.91268435,2018,2,4
202,1814000,-3413000,151.1058751,-30.12296085,2018,2,3
203,1778000,-3413000,150.7321714,-30.17034666,2018,1,2
204,1434000,-3413000,147.1457983,-30.57616,2017,12,1
205,1366000,-3413000,146.4338332,-30.64625699,2018,3,4
206,1350000,-3413000,146.2661794,-30.66226257,2019,7,1
207,1518000,-3413000,148.0239768,-30.48494335,2018,12,3
208,1258000,-3417000,145.3056183,-30.78619104,2018,12,1
209,1382000,-3417000,146.6062478,-30.66553107,2018,5,3
210,1338000,-3417000,146.145068,-30.70962615,2019,6,1
211,1314000,-3417000,145.8933585,-30.73308477,2018,5,2
212,1086000,-3417000,143.496983,-30.93499698,2017,5,3
213,1558000,-4029000,149.3177019,-35.91001218,2016,3,1
214,1570000,-4029000,149.4494395,-35.89534598,2018,3,1
215,882000,-3417000,141.3459093,-31.08340291,2016,10,4
216,1446000,-4033000,148.0919748,-36.07735982,2016,8,2
217,1830000,-3417000,151.2781688,-30.13688101,2019,8,3
218,1542000,-3417000,148.2799599,-30.49334804,2017,2,1
219,1666000,-3417000,149.5732632,-30.34717999,2018,8,1
220,1738000,-3421000,150.3285792,-30.29255032,2017,6,2
221,1494000,-3421000,147.7836021,-30.58237341,2016,6,1
222,1038000,-3421000,142.9950266,-31.00824058,2018,11,3
223,1158000,-3421000,144.25874,-30.91087892,2017,7,1
224,1170000,-3421000,144.3849832,-30.90056321,2017,4,3
225,1166000,-3421000,144.3429048,-30.90401347,2017,8,3
226,930000,-3425000,141.8590952,-31.12244747,2016,1,3
227,918000,-3425000,141.7323758,-31.13065485,2019,6,2
228,914000,-3425000,141.6901318,-31.13336711,2019,7,3
229,986000,-3425000,142.4501911,-31.08274685,2019,8,2
230,962000,-3425000,142.1969177,-31.10004357,2019,12,1
231,1922000,-3425000,152.2448313,-30.08095106,2018,11,3
232,2018000,-3425000,153.2379211,-29.94253178,2019,9,1
233,2002000,-3425000,153.0725826,-29.96605674,2018,10,2
234,1990000,-3425000,152.9485319,-29.98358112,2018,12,4
235,1650000,-3425000,149.4180185,-30.43738327,2016,11,1
236,1786000,-3425000,150.8337469,-30.26579429,2018,1,3
237,1386000,-3425000,146.6578126,-30.73238388,2018,1,3
238,1382000,-3425000,146.6158788,-30.73646521,2019,4,2
239,1338000,-3425000,146.1544,-30.78059211,2016,4,3
240,1350000,-3425000,146.2802951,-30.76869713,2016,2,2
241,1470000,-3425000,147.5376766,-30.64399272,2018,5,3
242,1334000,-3425000,146.1124288,-30.78453382,2019,12,2
243,1290000,-3425000,145.6505456,-30.82712383,2017,5,2
244,1198000,-3429000,144.6878373,-30.94714709,2017,8,2
245,950000,-3429000,142.0735872,-31.14413742,2019,9,2
246,930000,-3429000,141.8623622,-31.15805678,2018,10,3
247,1062000,-3429000,143.2553954,-31.06075795,2018,8,1
248,1038000,-3429000,143.0023064,-31.07940021,2018,9,1
249,1566000,-4041000,149.4236088,-36.00737787,2016,11,1
250,1450000,-4041000,148.1472104,-36.14437006,2017,2,1
251,1870000,-3545000,151.9012814,-31.21135279,2016,8,2
252,1842000,-3545000,151.6079864,-31.24986116,2017,11,3
253,1598000,-3545000,149.043622,-31.5614123,2016,8,3
254,1750000,-3545000,150.6428506,-31.37240085,2017,10,2
255,1710000,-3545000,150.2225503,-31.42376763,2016,9,3
256,1362000,-3545000,146.5501013,-31.82148143,2016,5,4
257,1354000,-3545000,146.4653688,-31.82958211,2019,9,1
258,1306000,-3545000,145.9567082,-31.87719814,2018,5,1
259,1158000,-3545000,144.385607,-32.01332939,2017,2,3
260,1142000,-3545000,144.2155243,-32.02707775,2016,11,1
261,1238000,-3549000,145.239764,-31.97730978,2019,5,2
262,1150000,-3549000,144.3046792,-32.05581586,2016,4,1
263,1126000,-3549000,144.0494221,-32.07623323,2019,11,4
264,1322000,-3549000,146.1310204,-31.89704276,2017,1,3
265,1254000,-3549000,145.4096296,-31.96242174,2017,3,2
266,882000,-3549000,141.4491752,-32.25956829,2018,6,2
267,1590000,-4161000,149.8728093,-37.0504076,2016,7,4
268,1562000,-4161000,149.5620528,-37.08540478,2016,1,1
269,1694000,-3549000,150.060305,-31.47936142,2018,7,4
270,1842000,-3549000,151.6144725,-31.28516165,2016,9,2
271,1526000,-3549000,148.2895949,-31.68052045,2016,10,3
272,1470000,-3553000,147.7031468,-31.7784674,2017,10,4
273,1690000,-3553000,150.0242005,-31.51976482,2019,11,2
274,1230000,-3553000,145.1592045,-32.02024612,2019,3,3
275,1438000,-3553000,147.3646322,-31.81314979,2017,1,3
276,1402000,-3553000,146.9835443,-31.85126983,2019,12,1
277,1350000,-3553000,146.4326124,-31.90465192,2018,7,3
278,1170000,-3553000,144.5214991,-32.07405959,2019,1,4
279,1154000,-3553000,144.3513373,-32.08796047,2018,4,2
280,926000,-3557000,141.9253593,-32.30109177,2016,12,1
281,1570000,-4169000,149.6632179,-37.14712098,2019,2,1
282,1582000,-4169000,149.7964901,-37.13210823,2016,4,3
283,1842000,-3553000,151.6209629,-31.32046324,2017,8,2
284,1790000,-3553000,151.0753715,-31.39052845,2017,12,3
285,1794000,-3553000,151.1173652,-31.38520825,2017,5,4
286,1738000,-3553000,150.5290781,-31.45863651,2018,9,2
287,1662000,-3557000,149.7353111,-31.59003937,2019,9,1
288,1558000,-3557000,148.6384364,-31.71466138,2018,11,3
289,1718000,-3557000,150.3248583,-31.51967313,2019,4,2
290,1538000,-3557000,148.4272107,-31.73772223,2019,9,1
291,1546000,-3557000,148.5117119,-31.72853297,2018,6,1
292,1502000,-3557000,148.0467776,-31.77849471,2017,2,3
293,1226000,-3561000,145.1254735,-32.09505024,2019,10,4
294,1206000,-3561000,144.9128221,-32.11323835,2019,4,1
295,1186000,-3561000,144.7000988,-32.13113078,2018,5,3
296,1334000,-3561000,146.2725014,-31.99173252,2019,11,2
297,1330000,-3561000,146.230059,-31.99571244,2016,2,1
298,1338000,-3561000,146.3149408,-31.98774082,2019,3,3
299,1322000,-3561000,146.1451645,-32.00363693,2019,9,1
300,1262000,-3561000,145.5080614,-32.06156708,2016,10,4
301,882000,-3561000,141.4586761,-32.36657896,2019,9,2
302,890000,-3561000,141.5441516,-32.3612632,2017,3,2
303,878000,-3561000,141.4159351,-32.36921896,2017,10,2
304,1534000,-4173000,149.269218,-37.22734395,2016,11,1
305,1954000,-3561000,152.8073554,-31.23341687,2018,7,3
306,1906000,-3561000,152.304892,-31.30208973,2019,10,3
307,1702000,-3561000,150.1625209,-31.57538237,2018,12,2
308,1854000,-3561000,151.7598412,-31.37461125,2017,4,1
309,1834000,-3561000,151.550012,-31.40198427,2017,8,4
310,1394000,-3561000,146.9087542,-31.93062077,2019,9,4
311,1538000,-3561000,148.4326758,-31.77316813,2017,9,2
312,1926000,-3525000,152.453465,-30.95636772,2017,10,1
313,1710000,-3525000,150.1924056,-31.24696243,2017,5,1
314,1890000,-3525000,152.0774791,-31.00713504,2016,1,1
315,1782000,-3525000,150.9474394,-31.1538388,2018,1,3
316,1566000,-3525000,148.6785431,-31.42193281,2017,10,3
317,1530000,-3525000,148.2993233,-31.46331866,2019,10,1
318,1670000,-3529000,149.7782711,-31.33245285,2018,1,1
319,1634000,-3529000,149.3997996,-31.37657853,2017,2,4
320,1446000,-3529000,147.4184851,-31.59168133,2018,11,2
321,1450000,-3529000,147.4607218,-31.58737332,2017,3,1
322,1402000,-3529000,146.953659,-31.63829647,2019,9,3
323,1050000,-3529000,143.2217226,-31.95999102,2019,2,4
324,1038000,-3529000,143.0941219,-31.9693463,2019,2,2
325,1190000,-3529000,144.7086753,-31.84297947,2019,6,2
326,1170000,-3529000,144.4964554,-31.86058159,2017,8,4
327,1158000,-3529000,144.3690902,-31.8710012,2016,8,2
328,1582000,-4141000,149.7530017,-36.88143803,2016,10,4
329,890000,-3529000,141.5186314,-32.07595272,2017,4,1
330,854000,-3529000,141.1349465,-32.0994256,2018,10,1
331,1034000,-3533000,143.0552737,-32.00805929,2016,7,2
332,1534000,-4145000,149.2269712,-36.97645357,2017,6,2
333,1498000,-4145000,148.8274023,-37.01969778,2017,5,2
334,1758000,-3529000,150.7020899,-31.22063276,2019,5,2
335,1942000,-3529000,152.6272538,-30.96875012,2018,6,1
336,1894000,-3533000,152.1325542,-31.07207944,2019,3,4
337,1982000,-3533000,153.0514863,-30.94599496,2017,3,1
338,1678000,-3533000,149.8682501,-31.35789404,2016,10,1
339,1642000,-3533000,149.4897257,-31.40224522,2016,7,4
340,1378000,-3533000,146.7048388,-31.69862651,2018,4,2
341,1546000,-3533000,148.4788324,-31.51590659,2019,8,3
342,1530000,-3533000,148.3101448,-31.53419728,2016,7,4
343,1162000,-3533000,144.4156871,-31.9031182,2018,3,1
344,1238000,-3533000,145.222118,-31.83508393,2018,8,4
345,1282000,-3537000,145.6930806,-31.82928885,2017,4,3
346,890000,-3537000,141.5249987,-32.14726996,2018,9,3
347,1002000,-3537000,142.7183452,-32.06802903,2019,8,1
348,1010000,-3537000,142.8035151,-32.06201273,2016,6,4
349,862000,-3537000,141.2263934,-32.16562395,2016,5,3
350,1574000,-4149000,149.6767128,-36.9630363,2018,11,4
351,1706000,-3537000,150.1684556,-31.35811118,2017,10,3
352,1786000,-3537000,151.0081908,-31.25452661,2019,1,3
353,1770000,-3537000,150.8403737,-31.27561416,2017,5,4
354,1422000,-3537000,147.1750802,-31.6882532,2017,12,3
355,1426000,-3537000,147.2173647,-31.68401228,2019,7,1
356,1398000,-3537000,146.9213031,-31.71345249,2018,7,3
357,1566000,-3537000,148.6951499,-31.52820651,2017,7,2
358,1554000,-3541000,148.5741547,-31.57755452,2016,1,4
359,1294000,-3541000,145.8248649,-31.85330011,2017,7,2
360,1242000,-3541000,145.273378,-31.9024923,2016,5,1
361,1066000,-3541000,143.4032381,-32.05418243,2018,8,2
362,1034000,-3541000,143.0626618,-32.07930065,2018,1,1
363,1010000,-3541000,142.8071258,-32.09764124,2019,4,3
364,1126000,-3541000,144.0413771,-32.00504202,2018,2,3
365,886000,-3541000,141.4855197,-32.18558985,2017,6,2
366,890000,-3545000,141.5313744,-32.21859404,2016,10,2
367,1594000,-4157000,149.9109235,-37.00955166,2017,12,1
368,1830000,-3541000,151.475783,-31.23088616,2018,4,2
369,1798000,-3541000,151.1403402,-31.27390955,2019,12,2
370,1786000,-3541000,151.0144803,-31.28985254,2017,11,3
371,918000,-3509000,141.8005594,-31.87880235,2018,9,1
372,846000,-3509000,141.0345566,-31.92619253,2016,6,2
373,1562000,-4121000,149.5008312,-36.72732475,2016,12,3
374,1930000,-3505000,152.4614937,-30.77442965,2018,7,3
375,1870000,-3505000,151.8357178,-30.85854463,2016,9,3
376,1950000,-3509000,152.6766699,-30.7810534,2018,11,1
377,1686000,-3509000,149.9167201,-31.13570147,2018,2,3
378,1614000,-3509000,149.1609643,-31.22368602,2019,3,3
379,1802000,-3509000,151.1316549,-30.98605671,2017,3,2
380,1758000,-3509000,150.6712158,-31.04396284,2018,9,4
381,1706000,-3509000,150.1264308,-31.11059464,2018,9,3
382,1434000,-3509000,147.2663902,-31.42715811,2016,9,1
383,1322000,-3509000,146.0840759,-31.54182451,2018,9,1
384,1498000,-3509000,147.9408337,-31.35751724,2016,5,4
385,1466000,-3509000,147.6037212,-31.39271138,2016,1,3
386,1118000,-3509000,143.9244767,-31.7270256,2019,9,1
387,1206000,-3513000,144.8612583,-31.68644555,2016,12,1
388,1142000,-3513000,144.182982,-31.74240434,2018,4,4
389,1386000,-3513000,146.764895,-31.51291656,2018,2,2
390,1338000,-3513000,146.2578669,-31.56151557,2017,4,4
391,1078000,-3513000,143.5040161,-31.79534307,2016,5,2
392,1050000,-3513000,143.2067612,-31.8175528,2016,8,1
393,1494000,-4125000,148.7536909,-36.84524025,2019,7,4
394,1778000,-3513000,150.8868014,-31.05313741,2019,6,4
395,1478000,-3513000,147.7353812,-31.41505627,2018,6,3
396,1486000,-3513000,147.8196867,-31.40625447,2018,5,3
397,1402000,-3513000,146.9338014,-31.49634195,2019,2,4
398,1622000,-3517000,149.256417,-31.28488502,2017,1,2
399,1422000,-3517000,147.1498889,-31.5108391,2018,5,2
400,1398000,-3517000,146.8965254,-31.53599134,2018,6,3
401,1406000,-3517000,146.9809931,-31.52765409,2019,9,1
402,1382000,-3517000,146.7275509,-31.55252526,2019,4,3
403,1074000,-3517000,143.4653794,-31.83415138,2017,4,2
404,1002000,-3517000,142.7004682,-31.88989947,2017,2,2
405,1134000,-3517000,144.1021786,-31.78476833,2016,2,1
406,1106000,-3517000,143.8050787,-31.80814452,2019,3,1
407,878000,-3517000,141.3813473,-31.97691163,2018,12,3
408,1022000,-3521000,142.9166639,-31.91041548,2017,10,3
409,974000,-3521000,142.4062642,-31.94617391,2016,12,1
410,1818000,-3517000,151.3117037,-31.03526087,2016,2,3
411,1858000,-3521000,151.7364603,-31.01619281,2017,11,1
412,1634000,-3521000,149.3882764,-31.30579283,2017,4,2
413,1586000,-3521000,148.883497,-31.36311929,2018,5,3
414,1722000,-3521000,150.3122774,-31.19635032,2016,7,4
415,1734000,-3521000,150.4381304,-31.18099159,2017,5,3
416,1422000,-3521000,147.1549205,-31.54631923,2019,9,3
417,1334000,-3521000,146.2250471,-31.63651549,2016,3,3
418,1522000,-3521000,148.2096347,-31.43694645,2017,11,1
419,1270000,-3521000,145.547818,-31.69854466,2017,11,4
420,1238000,-3525000,145.2133126,-31.76398008,2018,5,4
421,1214000,-3525000,144.9589285,-31.78590814,2018,5,1
422,1210000,-3525000,144.916521,-31.78952157,2017,12,2
423,1178000,-3525000,144.5771595,-31.81800456,2017,9,1
424,1138000,-3525000,144.1527076,-31.85254638,2017,12,3
425,962000,-3525000,142.2820438,-31.9904823,2018,12,2
426,1098000,-3525000,143.7279865,-31.88590708,2017,7,2
427,1062000,-3525000,143.3455148,-31.91492084,2017,2,4
428,874000,-3525000,141.3450017,-32.05084389,2019,7,3
429,1578000,-4137000,149.7025074,-36.85064158,2018,2,2
430,1194000,-3489000,144.7087574,-31.48382682,2018,1,2
431,1322000,-3489000,146.06072,-31.36426713,2017,9,3
432,1330000,-3489000,146.145116,-31.35639597,2016,1,2
433,974000,-3489000,142.3785511,-31.66117319,2018,10,3
434,1130000,-3489000,144.0316845,-31.53909534,2017,12,1
435,1018000,-3489000,142.8451964,-31.6285585,2019,9,2
436,1030000,-3489000,142.9724135,-31.61941554,2019,11,2
437,1566000,-4101000,149.5145599,-36.54349848,2019,11,2
438,1530000,-4101000,149.1167829,-36.5874112,2016,12,2
439,1466000,-4101000,148.4088033,-36.66301424,2018,9,4
440,862000,-3489000,141.189502,-31.737735,2019,7,4
441,850000,-3489000,141.0620056,-31.74538744,2019,8,1
442,1522000,-4105000,149.0342741,-36.6328285,2019,11,1
443,1930000,-3489000,152.4345924,-30.63345331,2017,3,1
444,1730000,-3489000,150.3476505,-30.90337456,2016,3,3
445,1658000,-3489000,149.5938715,-30.99349031,2016,10,1
446,1898000,-3489000,152.1013904,-30.67857147,2019,3,3
447,1886000,-3489000,151.9763683,-30.69530156,2017,8,2
448,1818000,-3489000,151.2671873,-30.78815276,2017,8,1
449,1786000,-3489000,150.9330379,-30.83069712,2019,9,2
450,1634000,-3489000,149.3423349,-31.02269563,2019,11,4
451,1706000,-3493000,150.1025032,-30.9691804,2018,10,1
452,1702000,-3493000,150.0606228,-30.97421759,2019,10,2
453,1682000,-3493000,149.8511622,-30.99923002,2017,7,1
